"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 20 05:21:21 UTC 2025","Tue May 20 05:21:22 UTC 2025","554","GreatTestSuite","HeadlessTest","com.ashik.sqa.tests.HeadlessBrowserTest","com.ashik.sqa.tests.HeadlessBrowserTest","launchHeadlessBrowser","launchHeadlessBrowser",""
"passed","Tue May 20 05:21:54 UTC 2025","Tue May 20 05:21:54 UTC 2025","82","GreatTestSuite","UiInteractionTest","com.ashik.sqa.tests.ButtonInteractionsTest","com.ashik.sqa.tests.ButtonInteractionsTest","delayedVisibleButtonClicked","Visible After N Seconds",""
"passed","Tue May 20 05:21:48 UTC 2025","Tue May 20 05:21:48 UTC 2025","165","GreatTestSuite","UiInteractionTest","com.ashik.sqa.tests.ButtonInteractionsTest","com.ashik.sqa.tests.ButtonInteractionsTest","buttonDoubleClicked","buttonDoubleClicked",""
"passed","Tue May 20 05:21:51 UTC 2025","Tue May 20 05:21:54 UTC 2025","2212","GreatTestSuite","UiInteractionTest","com.ashik.sqa.tests.ButtonInteractionsTest","com.ashik.sqa.tests.ButtonInteractionsTest","delayedEnabledButtonClicked","Will enable N seconds",""
"passed","Tue May 20 05:21:36 UTC 2025","Tue May 20 05:21:39 UTC 2025","3179","GreatTestSuite","UiInteractionTest","com.ashik.sqa.tests.ButtonInteractionsTest","com.ashik.sqa.tests.ButtonInteractionsTest","NavigatingRadioBtnSection","NavigatingRadioBtnSection",""
"passed","Tue May 20 05:21:22 UTC 2025","Tue May 20 05:21:36 UTC 2025","13532","GreatTestSuite","UiInteractionTest","com.ashik.sqa.tests.ButtonInteractionsTest","com.ashik.sqa.tests.ButtonInteractionsTest","goToHomePage","goToHomePage",""
"passed","Tue May 20 05:21:48 UTC 2025","Tue May 20 05:21:48 UTC 2025","159","GreatTestSuite","UiInteractionTest","com.ashik.sqa.tests.ButtonInteractionsTest","com.ashik.sqa.tests.ButtonInteractionsTest","buttonRightClicked","buttonRightClicked",""
"passed","Tue May 20 05:21:45 UTC 2025","Tue May 20 05:21:48 UTC 2025","3073","GreatTestSuite","UiInteractionTest","com.ashik.sqa.tests.ButtonInteractionsTest","com.ashik.sqa.tests.ButtonInteractionsTest","navigateButtonsSection","navigateButtonsSection",""
"passed","Tue May 20 05:21:48 UTC 2025","Tue May 20 05:21:51 UTC 2025","3085","GreatTestSuite","UiInteractionTest","com.ashik.sqa.tests.ButtonInteractionsTest","com.ashik.sqa.tests.ButtonInteractionsTest","navigateDynamicSection","navigateDynamicSection",""
"passed","Tue May 20 05:21:22 UTC 2025","Tue May 20 05:21:22 UTC 2025","56","GreatTestSuite","HeadlessTest","com.ashik.sqa.tests.HeadlessBrowserTest","com.ashik.sqa.tests.HeadlessBrowserTest","checkJobTitle","checkJobTitle",""
"passed","Tue May 20 05:21:42 UTC 2025","Tue May 20 05:21:45 UTC 2025","3129","GreatTestSuite","UiInteractionTest","com.ashik.sqa.tests.ButtonInteractionsTest","com.ashik.sqa.tests.ButtonInteractionsTest","interactingWithCheckbox","interactingWithCheckbox",""
"passed","Tue May 20 05:21:39 UTC 2025","Tue May 20 05:21:42 UTC 2025","3053","GreatTestSuite","UiInteractionTest","com.ashik.sqa.tests.ButtonInteractionsTest","com.ashik.sqa.tests.ButtonInteractionsTest","clickedRadioBtn","clickedRadioBtn",""
